date,type,entry_price,entry_time_utc,exit_price,exit_time_utc,exit_reason,hit_tp_sl,size_usd,qty,fees_usd,pnl_usd,pnl_pct,symbol,tp_price,sl_price,bars_held,atr_at_entry
2024-08-03,Short,61462.01,2024-08-03T04:52:00.000Z,61597.07630275988561,2024-08-03T05:01:00.000Z,StopLoss,SL,1000,0.016270213095862,2.00219755752797475526550308434582,-4.19975508550152740076858743016582,-0.41997550855015,BTCUSDT,61191.87739448022878,61597.07630275988561,0,45.02210091996187
2024-08-03,Short,60208.01,2024-08-03T20:08:00.000Z,60473.21732056057349,2024-08-03T20:13:00.000Z,StopLoss,SL,1000,0.0166090857346057,2.004404851124632953766681131022893,-6.409255975760255063447812153915893,-0.64092559757603,BTCUSDT,59677.59535887885302,60473.21732056057349,0,88.40244018685783
2024-08-05,Short,54246.92,2024-08-05T17:01:00.000Z,54668.44097313643256,2024-08-05T17:15:00.000Z,StopLoss,SL,1000,0.0184342263118348,2.007770413013979283814603380061088,-9.778183426995814282417983441149088,-0.97781834269958,BTCUSDT,53403.87805372713488,54668.44097313643256,0,140.50699104547752
2024-08-06,Long,55190,2024-08-06T13:40:00.000Z,54719.69635486450214,2024-08-06T13:42:00.000Z,StopLoss,SL,1000,0.0181192244971915,1.99147846267194131414275347573981,-10.51301579072951217138927773592981,-1.05130157907295,BTCUSDT,56130.60729027099572,54719.69635486450214,0,156.76788171183262
2024-08-06,Short,56448.01,2024-08-06T19:08:00.000Z,56684.63458322967781,2024-08-06T19:25:00.000Z,StopLoss,SL,1000,0.0177154163627735,2.004191903013583649929390483006035,-6.196094916595077844319873489041035,-0.61960949165951,BTCUSDT,55974.76083354064438,56684.63458322967781,0,78.87486107655927
2024-08-07,Short,54756.01,2024-08-07T22:20:00.000Z,55053.15507460838572,2024-08-07T22:34:00.000Z,StopLoss,SL,1000,0.0182628354403471,2.005426711599482820974802487483412,-7.432138311082092724777289970895412,-0.74321383110821,BTCUSDT,54161.71985078322856,55053.15507460838572,0,99.04835820279524
2024-08-08,Long,58042.66,2024-08-08T12:34:00.000Z,57664.18303195426552,2024-08-08T13:32:00.000Z,StopLoss,SL,1000,0.0172287072990797,1.993479331098098239986254785441944,-8.514148233001198255731469343497944,-0.85141482330012,BTCUSDT,58799.61393609146896,57664.18303195426552,0,126.15898934857816
2024-08-09,Long,60999.990000000005,2024-08-09T14:04:00.000Z,60581.84376341623175,2024-08-09T14:09:00.000Z,StopLoss,SL,1000,0.0163934453104009,1.993145142538815835124664159808575,-8.848002603724858668687056355733575,-0.88480026037249,BTCUSDT,61836.2824731675515,60581.84376341623175,0,139.38207886125775
2024-08-09,Short,59874.83,2024-08-09T14:33:00.000Z,60369.7275806917757,2024-08-09T14:53:00.000Z,StopLoss,SL,1000,0.0167015087976033,2.00826553629783827584853218117981,-10.27380183413411918538071336098981,-1.02738018341341,BTCUSDT,58885.0348386164486,60369.7275806917757,0,164.9658602305919
2024-08-09,Long,60229.15,2024-08-09T16:50:00.000Z,60676.41721117052896,2024-08-09T17:15:00.000Z,TakeProfit,TP,1000,0.0166032560645468,2.007426092036338918424275658675328,5.418665944303680285851383016652672,0.54186659443037,BTCUSDT,60676.41721117052896,60005.51639441473552,0,74.54453519508816
