1751353800000000,106999.99,107000,106927.88,106927.88,43.28824
1751354100000000,106927.89,106935.87,106681.52,106682.4,108.44976
1751354400000000,106682.4,106694.13,106615.97,106694.12,97.00538
1751354700000000,106694.12,106917.6,106679.28,106903.31,52.32252
1751355000000000,106903.31,107029.41,106882.88,106999.02,76.51526
1751355300000000,106999.02,107012.46,106943.83,106976.5,42.7204
1751355600000000,106976.5,106990.5,106907.14,106935.87,79.38296
1751355900000000,106935.87,107013.66,106923.17,107013.65,63.54862
1751356200000000,107013.65,107176.48,107013.65,107146.26,155.30522
1751356500000000,107146.25,107178.99,107138.42,107178.99,49.34614
1751356800000000,107178.99,107178.99,107020.48,107037.97,63.31026
1751357100000000,107037.97,107037.97,106965.59,106995.33,58.15416
1751357400000000,106995.33,106995.33,106893.47,106893.47,51.2989
1751357700000000,106893.47,106948.58,106893.47,106907.78,64.28672
1751358000000000,106907.78,106950,106907.77,106950,35.962180000000004
1751358300000000,106950,106950,106904.18,106907.51,46.56334
1751358600000000,106907.51,106935.87,106864.65,106864.65,23.381719999999998
1751358900000000,106864.66,106918.14,106755.62,106783.4,40.31076
1751359200000000,106783.4,106783.41,106729.35,106741.09,26.776600000000002
1751359500000000,106741.09,106762.6,106723.91,106749.96,73.37556000000001
1751359800000000,106749.96,106760,106705.58,106723.91,43.83844
1751360100000000,106723.92,106723.92,106681.52,106710.12,37.443979999999996
1751360400000000,106710.12,106764.7,106684.02,106732.01,33.42658
1751360700000000,106732,106775.18,106722.01,106771.5,50.454499999999996
1751361000000000,106771.49,106794.09,106702.35,106702.35,33.09966
1751361300000000,106702.36,106705.59,106639.13,106680.17,83.50225999999999
1751361600000000,106680.18,106711.46,106585.72,106711.45,107.39024000000002
1751361900000000,106711.45,106715,106676.5,106696.07,36.33234
1751362200000000,106696.08,106696.08,106585.73,106585.74,72.00474
1751362500000000,106585.73,106591.79,106543.21,106543.22,80.71396
1751362800000000,106543.22,106543.22,106500,106509.91,132.77558
1751363100000000,106509.91,106537.87,106500,106517.24,43.979699999999994
1751363400000000,106517.25,106561.7,106512.07,106512.07,64.64078
1751363700000000,106512.07,106596.45,106512.07,106556.39,39.97036
1751364000000000,106556.39,106633.31,106513,106609.2,58.921060000000004
1751364300000000,106609.21,106616.06,106571.93,106616.05,59.22256
1751364600000000,106616.05,106616.06,106510,106510.01,83.84764
1751364900000000,106510,106537.2,106510,106519.8,39.81132
