timestamp_ms,open,high,low,close,volume
1726875600000,63168.74,63201.91,63147.67,63147.67,45.337120
1723098000000,57096.00,57130.53,57060.90,57130.53,230.854980
1724455800000,64099.99,64117.37,64031.91,64057.51,300.837690
1725055200000,59056.00,59181.70,59051.10,59129.00,196.290780
1725433800000,56413.99,56563.99,56397.00,56502.00,913.640920
1727549700000,65715.00,65715.01,65715.00,65715.01,124.676920
1727651100000,65703.14,65703.14,65580.00,65580.00,119.517560
1727669700000,64460.00,64474.00,64414.00,64474.00,76.452460
1728431400000,62261.36,62281.21,62216.00,62216.00,67.431300
1723188300000,61104.05,61128.05,61017.37,61094.00,288.905730
1723353900000,60990.51,61030.00,60990.51,61029.99,46.585110
1723391700000,60133.52,60153.01,60015.17,60127.29,135.102540
1723864800000,59076.50,59135.94,59052.61,59114.99,97.748220
1724399400000,61024.48,61084.84,60937.97,61081.06,207.830580
1725978600000,57005.16,57165.99,56858.00,56925.05,426.012900
1726157700000,57764.02,57880.00,57764.01,57803.99,167.128400
1727407200000,64928.00,65006.71,64927.99,65006.70,243.767880
1723896000000,59137.12,59154.27,59103.26,59154.26,62.522820
1725207600000,58268.00,58268.01,58146.34,58147.00,75.676440
1726160100000,58010.26,58125.00,57992.00,58065.99,212.103040
1727262600000,63576.37,63603.46,63560.01,63581.99,83.586520
1727793300000,62617.99,62794.00,62448.01,62698.00,686.419520
1728490500000,62078.00,62100.00,61872.00,61896.00,280.815170
1728985500000,65661.00,65730.66,65661.00,65730.66,35.580620
1730035800000,67664.25,67706.00,67599.97,67636.93,52.997440
1722682500000,61828.49,61885.90,61813.52,61822.01,285.120150
1723701000000,58391.24,58450.00,58376.00,58385.00,76.031340
1724704800000,63462.01,63537.00,63460.00,63531.01,111.546480
1724985300000,59215.00,59231.10,59181.10,59190.00,69.465840
1723092300000,56836.85,56938.91,56802.00,56880.30,187.963170
1723857300000,59201.22,59230.71,59180.92,59213.01,102.321360
1724272200000,61254.00,61308.12,61157.23,61237.98,590.533290
1726287900000,60336.22,60348.00,60316.00,60321.99,21.461400
1726559100000,58673.12,58711.10,58663.32,58694.00,132.032600
1727021400000,62597.83,62613.99,62491.39,62491.39,260.558880
1728940800000,65900.00,65936.00,65842.76,65842.76,27.957580
1730151000000,69590.00,69669.68,69589.99,69658.74,66.188310
1725091800000,59116.00,59121.10,59112.00,59112.01,28.640610
1725324600000,59155.00,59187.00,59155.00,59179.00,78.657060
1726474800000,58891.11,59100.00,58891.10,59099.06,266.188040
1727519700000,65726.70,65750.00,65719.99,65747.99,46.306900
1729141200000,67260.01,67330.00,67260.00,67329.99,39.918400
1730353800000,72286.81,72305.41,72283.98,72293.96,42.331930
1724040300000,58698.26,58716.80,58661.85,58661.85,100.643040
1724261700000,59933.79,59941.61,59814.18,59868.52,155.092830
1726395600000,59972.60,59972.60,59946.00,59951.01,89.303860
1726544100000,58076.42,58140.00,58076.42,58100.00,117.939000
1726765500000,63738.78,63794.88,63600.00,63682.30,329.602500
1729620600000,67413.90,67413.90,67328.00,67328.01,37.087660
1723578900000,60862.86,60885.10,60778.99,60820.15,262.478610
1726365000000,60219.98,60260.00,60219.98,60256.00,87.419060
1727400600000,65214.00,65282.00,65200.00,65204.79,74.992880
1728437700000,62444.42,62494.00,62418.42,62438.40,113.053010
1729297800000,68433.00,68433.00,68381.40,68381.40,15.888580
1730353200000,72303.04,72342.00,72303.03,72324.82,38.746600
1730364300000,72190.00,72234.00,72184.00,72234.00,34.267960
1722645000000,61552.46,61573.06,61456.00,61472.04,326.293920
1725090300000,59146.11,59180.18,59146.10,59171.01,149.038260
1725226500000,58192.76,58250.00,58181.10,58213.12,73.836520
1725609600000,55804.28,55856.00,55761.10,55810.33,252.969040
1730176500000,71000.00,71088.58,70981.15,71082.01,95.271280
1730284500000,72429.70,72429.71,72399.91,72399.92,68.083260
1723791300000,58577.13,58582.26,58502.73,58527.59,117.504750
1724241900000,59385.13,59407.80,59310.05,59353.56,133.413780
1724434200000,61800.97,61884.62,61755.64,61855.04,325.257690
1725034200000,58361.19,58364.84,58287.00,58341.08,294.958500
1726340100000,59814.01,59814.01,59786.00,59786.00,33.024680
1726593000000,60806.01,60856.96,60686.36,60837.99,442.643660
1728538200000,60886.00,60902.82,60860.00,60867.99,23.414450
1730261400000,72244.99,72278.33,72234.99,72235.00,78.205230
1722930600000,55900.00,56169.48,55872.00,55991.99,882.711930
1723337400000,61088.01,61138.29,61082.00,61107.45,87.910800
1724288400000,60818.15,60859.69,60724.79,60802.47,429.410250
1729119600000,67790.00,67827.48,67721.84,67743.54,46.452920
1729170900000,67117.46,67130.00,67000.92,67022.01,94.275610
1730020500000,67145.01,67180.00,67136.61,67166.00,84.386950
1725493500000,58000.01,58009.00,57889.81,57890.00,144.555720
1726391400000,60081.11,60081.11,60036.00,60064.00,55.157500
1728144900000,62101.01,62124.56,62050.00,62118.32,95.332600
1724325900000,61227.45,61273.73,61211.21,61273.72,126.409050
1724850300000,59876.11,59887.03,59797.00,59823.99,441.581250
1725366600000,59218.98,59312.94,59212.00,59299.00,172.084800
1726095900000,57437.99,57480.00,57424.00,57480.00,41.625300
1723071900000,55337.28,55428.44,55282.75,55344.00,330.684750
1724148000000,60856.04,60878.01,60846.22,60846.22,94.951500
1725444900000,56552.01,56580.00,56470.18,56488.00,118.843120
1727336700000,63804.80,63874.41,63800.90,63864.13,122.530960
1730244600000,72633.99,72716.00,72608.62,72675.55,69.889730
1722759000000,60188.10,60291.92,60081.57,60245.99,332.386590
1723753800000,56890.42,56929.79,56805.02,56868.77,280.264350
1725222600000,58604.01,58624.00,58547.41,58569.99,46.502540
1727055900000,63842.01,63894.00,63778.00,63883.69,118.539500
1728156900000,61856.23,61862.00,61828.43,61828.43,37.254990
1729250400000,67884.04,67915.30,67849.23,67882.00,157.963140
1729629900000,67508.82,67560.00,67494.01,67551.98,73.803740
1724262900000,59908.34,59963.75,59908.34,59928.42,130.731600
1724490300000,64300.00,64333.00,64244.44,64253.00,143.529750
1724793600000,61386.01,61575.00,61354.51,61516.85,382.983150
1727945400000,60263.36,60279.50,60138.00,60250.00,150.306020
1730238000000,72305.39,72372.26,72295.35,72333.38,43.645230
1723018500000,57046.00,57080.00,56928.91,56971.99,251.553480
1724098200000,59033.99,59059.83,58943.51,58987.99,107.176860
1724355900000,60295.99,60425.43,60276.00,60425.43,137.796390
1725507600000,57031.37,57177.22,57031.36,57157.00,198.864940
1726860300000,62949.99,62960.00,62887.81,62930.01,88.579600
1728260400000,62878.79,62974.00,62859.90,62904.01,105.163890
1730358900000,72249.99,72269.31,72234.26,72267.85,33.240440
1724365800000,60527.99,60528.00,60474.01,60474.01,38.372790
1724420700000,60977.66,61123.05,60968.08,61060.11,404.160150
1725339300000,59048.00,59100.00,59003.99,59099.01,452.435900
1726123200000,57918.00,57938.00,57880.00,57913.99,65.444720
1726244400000,59659.36,59733.97,59620.00,59726.01,651.781440
1727812200000,61754.01,61868.00,61754.01,61830.00,114.433440
1729986000000,67124.00,67128.00,67121.66,67126.00,10.143330
1730021400000,67152.00,67152.00,67101.04,67138.46,40.356360
1725494100000,57986.00,57989.00,57953.43,57970.90,48.905880
1727077200000,63540.40,63594.00,63513.58,63588.02,148.345440
1728663300000,62212.20,62286.00,62186.98,62186.99,76.330500
1729654500000,66970.00,67022.63,66968.06,67022.62,33.525140
1729927200000,67069.99,67110.00,67055.28,67110.00,31.161370
1723834500000,59415.99,59481.61,59411.78,59467.00,242.598030
1725380700000,57835.99,57840.00,57688.00,57737.99,231.258740
1726820700000,63467.36,63474.00,63241.21,63241.21,252.263440
1727224800000,64373.99,64444.00,64372.00,64392.06,306.749560
1728015300000,61006.43,61028.66,60972.50,61028.65,26.593230
1723860600000,59311.96,59339.72,59189.79,59189.80,137.651100
1724372400000,60559.99,60619.78,60559.99,60618.10,164.363580
1724526000000,64223.06,64280.88,64218.00,64280.88,55.786650
1724738100000,63138.40,63150.02,63078.29,63150.02,206.969340
1725103800000,59130.64,59146.07,59103.54,59103.55,69.968880
1728622500000,60658.00,60700.00,60654.02,60699.99,21.899130
1729130400000,67893.98,67908.48,67806.00,67814.27,70.552810
1726459200000,58575.09,58592.00,58532.00,58537.99,132.742600
1727767500000,63937.42,64035.99,63937.42,64012.04,28.117680
1728013500000,60923.99,60942.00,60891.56,60933.99,14.944190
1728337500000,63309.85,63309.86,63288.34,63288.34,8.542880
1728398400000,62480.00,62513.14,62354.57,62486.00,144.129640
1729986900000,67102.00,67120.00,67092.00,67092.76,18.005040
1730031000000,67135.08,67189.06,67135.08,67189.05,18.422410
1730064900000,67939.90,67967.31,67886.53,67967.30,23.869090
1726192800000,58129.98,58170.00,58088.02,58088.03,69.059080
1727140500000,63035.99,63270.10,63035.99,63169.29,399.369140
1729676700000,66492.52,66544.90,66456.28,66544.89,62.619350
1730074200000,68016.58,68108.04,67988.00,68057.98,65.606110
1730383200000,71308.00,71315.62,70818.18,70878.00,679.984280
1722796200000,58371.84,58398.52,58281.70,58363.99,469.210620
1723262100000,60428.36,60445.85,60410.32,60437.84,38.589990
1723348800000,61085.01,61145.82,61085.00,61090.31,83.271720
1723652700000,59010.55,59081.82,58925.00,59023.97,383.455770
1726347000000,59948.99,60025.81,59948.99,60010.53,99.779000
1726950300000,63204.99,63205.00,63184.00,63198.66,16.279220
1729405200000,68216.00,68242.43,68215.99,68242.42,15.549050
1730402100000,70743.37,70743.38,70570.00,70619.49,51.082620
1723028400000,57322.99,57372.01,57191.87,57226.00,713.605230
1725671400000,53952.97,53992.00,53856.52,53882.01,168.412680
1726833000000,63428.80,63444.00,63400.00,63404.01,168.842280
1727455500000,66182.01,66240.00,66134.00,66227.99,116.432140
1727623500000,65708.84,65733.99,65615.10,65647.81,185.561200
1727705100000,63798.65,63858.00,63571.28,63703.99,643.830420
1729236600000,68141.99,68156.00,67980.26,67992.00,178.392010
1724280900000,61213.99,61238.78,61176.47,61176.47,92.305230
1724832000000,58600.98,58671.10,58534.35,58653.62,751.486080
1725722100000,54666.00,54690.29,54626.00,54636.01,75.882660
1726731900000,62107.68,62164.00,62092.00,62153.99,148.739720
1728717600000,62686.99,62712.00,62686.99,62712.00,12.837830
1728907200000,64920.05,64942.00,64827.58,64866.50,67.062660
1723660800000,59050.01,59073.41,58909.61,58929.51,528.325830
1723709400000,58057.41,58087.85,57970.65,58077.78,323.276250
1725716400000,54624.00,54624.00,54404.00,54481.09,178.675060
1726776300000,63136.46,63213.99,63136.46,63201.46,115.004740
1727605800000,65482.60,65506.00,65480.85,65505.99,44.892560
1728591000000,59919.99,59979.92,59812.00,59971.99,133.671120
1728702900000,62611.69,62636.00,62559.90,62559.91,20.213430
1730289600000,71984.00,72015.98,71807.44,71814.71,258.948340
1724867100000,59048.01,59084.00,58950.00,58960.00,262.636020
1725204000000,57908.00,57959.00,57889.00,57889.01,87.997500
1726272600000,60586.33,60592.00,60504.02,60504.02,102.428740
1726771800000,63588.56,63619.77,63490.00,63548.26,195.015440
1729811700000,68163.20,68240.00,68163.20,68238.73,25.037930
1729972200000,67095.33,67145.11,67074.00,67145.10,10.062230
1723179600000,60720.01,60854.50,60619.78,60619.78,533.805480
1722648300000,60935.56,61193.24,60932.00,61193.23,473.782950
1728490800000,61896.00,61969.70,61850.00,61853.39,90.550050
1729747200000,67455.99,67479.55,67415.08,67420.00,25.902930
1729761600000,66973.85,66973.86,66824.83,66934.01,89.280150
1722900000000,54742.01,54748.00,54483.24,54524.00,589.448610
1723495800000,59158.44,59158.44,58739.25,58916.06,898.792170
1728312300000,64192.80,64216.00,63999.90,64077.40,232.579210
